ItemName,ItemLocation,Manufacturer,Quantity,Servings Per,Servings Size,Units,Servings,ExpirationDate,Box,Manufactured Date,UPC,Damaged
A1,Basement Kitchen Pantry,Kraft,4,25,17,grams,100,1/9/2018,,,054400000047,
Soy Sauce,Basement,La Choy,1,30,15,mL,30,01/20/2018,147,,,
Deodrant (Axe),Basement,Axe,2,1,76,grams,2,2/1/2018,147,,,
Smoked Ham,Basement Kitchen,Hormel,24,2.5,2,ounces,60,4/1/2018,25,,3760026701,
Tooth Paste,Basement,Colgate,15,8 oz.,,,8oz. x 15,4/1/18,131,,,
Smarties,Basement Kitchen Pantry,Smarties Candy Co,1,186,7,grams,186,4/18/2018,10,,011206003764,
Super Calcium,Basement,Schiff,12,30,3,gels,360,5/1/2018,32,,,
Dum Dums,Basement Kitchen Pantry,Spangler,1,100,3,pops,100,5/20/2018,11,,030800000542,
50 % Isopropyl Alcohol,Basement,Assured,8,32,0.5,ounces,256,6/1/2018,29,,6392777217127,
Albacore Tuna,Basement Kitchen ,Starkist,12,1,2.6,oz,12,6/26/18,143,,,
Albacore Tuna,Basement Kitchen ,Starkist,12,1,2.6,oz,12,6/30/18,142,,,
Albacore Tuna,Basement Kitchen ,Starkist,8,1,2.6,oz,8,7/1/18,141,,,
Laxative Tablets,Basement,Dulcolax,1,200,1 tablet,5mg,200,8-31-18,82,,,
Cinnamon - Biotin Chromium,Basement,Natrol,18,60 Tablets,1 Tablet,Tablets,1080,11/30,129,,,
White Vinegar,Basement,Heinz,1,1,946,mL,1,12/28/18,147,,,
Children's Motrin,Basement,McNeil,2,,,,,1/1/2019,148,,,
Tuna Fish,Basement Kitchen Pantry,Starkist,4,8,56,grams,32,2/11/2019,26,,080000495648,
Ibuprophen,Basement,Kirkland,2,180,1,softgel,360,4/1/2019,148,,,
Apricot Jam,Basement Kitchen Pantry,Home,11,1,1,jar,11,10/1/2019,22,10/1/2014,,
Trauma Drops,Basement,Herb Pharm,10,1 fl. oz,,glass bottle,,2/1/2021,127,,,
Trauma Oil,Basement,Herb Pharm,10,1 fl. oz.,,glass bottle,,5/1/21,126,,,
Peanut Butter Powder,Basement Kitchen Pantry,Emergency Essentials,3,89,14,grams,267,8/25/2024,11,8/25/2014,796959238433,
Dry Milk,Basement Kitchen,Emergency Essentials,12,72,22,grams,864,1/26/2025,,1/26/2015,796959011104,
Chicken Dices,Basement Kitchen Pantry,Emergency Essentials,6,13,36,grams,78,1/29/2025,,1/29/2015,796959034714,
Shredded Cheddar Cheese,Basement Kitchen,Emergency Essentials,3,137,8,grams,411,2/18/2025,,2/18/2015,796959945812,
Butter Powder,Basement Kitchen,Emergency Essentials,6,113,9,grams,678,3/17/2025,,3/17/2015,,
Shredded Mozzarella Cheese,Basement Kitchen,Emergency Essentials,3,100,8,grams,300,3/31/2025,,3/31/2015,796959013252,
Iodized Salt,Basement Kitchen Cupboard,Emergency Essentials,5,754,1.5,grams,3770,4/6/2025,20,4/6/2015,796959022049,
Potato Slices,Basement Kitchen,Emergency Essentials,6,22,0.5,Cups,132,4/14/2025,,4/14/2015,,
Dried Apples,Basement,,6,5,,,30,9/28/2025,147,10/1/2015,,
Dried Strawberries,Basement,,4,5,,,20,9/28/2025,147,10/1/2015,,
Dried Turkey,Basement,,2,5,,,10,9/28/2025,147,10/1/2015,,
White Rice,Basement,LDS Welfare Services,4,57,45,grams,228,6/20/2032,13,6/20/2012,,
Nonfat Dry Milk Powder,Basement Kitchen Pantry,LDS Welfare Services,2,69,27,grams,138,7/25/2032,11,7/25/2012,,
Spaghetti,Basement,LDS Welfare Services,2,36,56,grams,72,7/26/2032,13,7/26/2012,,
Spaghetti w Meat Sauce,Basement,Mountain House,4,10,55,grams,40,6/1/2033,12,,,
Spaghetti w Meat Sauce,Basement,Mountain House,1,10,55,grams,10,6/1/2033,13,,,
Beef Stroganoff w Noodles,Basement,Mountain House,5,10,57,grams,50,8/1/2033,15,,,
Chicken Teriyaki w Rice,Basement,Mountain House,6,9,60,grams,54,8/1/2033,14,,,
Raspberry Crumble,Basement Kitchen Pantry,Mountain House,3,12,37,grams,36,8/1/2033,9,,041133305419,
Scrambled Eggs w/Bacon,Basement Kitchen Pantry,Mountain House,6,16,36,grams,96,8/1/2033,8,,041133304474,
Vegetable Stew w Beef,Basement,Mountain House,1,9,50,grams,9,8/1/2033,13,,,
Raspberry Crumble,Basement Kitchen,Mountain House,6,12,37,grams,72,4/1/2040,,,4113330541,
Hard White Wheat,Basement,LDS Welfare Services,8,55,48,grams,440,4/11/2042,17,4/11/2012,,
Potato Flakes,Basement,LDS Welfare Services,3,39,21,grams,117,6/29/2042,15,6/29/2012,,
Potato Flakes,Basement,LDS Welfare Services,3,39,21,grams,117,6/29/2042,16,6/29/2012,,
Apple Slices,Basement Kitchen Pantry,LDS Welfare Services,3,16,28,grams,48,7/11/2042,10,7/11/2012,,
Macaroni,Basement,LDS Welfare Services,2,27,56,grams,54,7/18/2042,14,7/18/2012,,
Macaroni,Basement,LDS Welfare Services,1,27,56,grams,27,7/18/2042,16,7/18/2012,,
Rolled Oats,Basement Kitchen Pantry,LDS Welfare Services,4,31,40,grams,124,7/26/2042,10,7/26/2012,,
Sugar,Basement Kitchen Pantry,LDS Welfare Services,4,693,4,grams,2772,7/26/2042,12,7/26/2012,,
Sugar,Basement Kitchen Pantry,LDS Welfare Services,2,693,4,grams,1386,7/26/2042,11,7/26/2012,,
FD Green Bell Peppers,Basement,Emergency Essentials,1,,#2.5,can,,11/30/2045,33,,,
FD Blueberries,Basement,Emergency Essentials,1,,#10,can,,11/30/2045,33,,,
FD Monterey Jack Cheese,Basement,Emergency Essentials,1,,#2.5,can,,11/30/2045,33,,,
Italian Seasoning,Basement,Emergency Essentials,1,,#2.5,can,,11/30/2045,33,,,
Lemon & Dill Seafood Blend,Basement,Emergency Essentials,1,,#2.5,can,,11/30/2045,33,,,
Cust & Sifted Basil Leaves,Basement,Emergency Essentials,1,,#2.5,can,,11/30/2045,33,,,
Taco Seasoning,Basement,Emergency Essentials,1,,#2.5,can,,11/30/2045,33,,,
Minced Garlic,Basement,Emergency Essentials,1,,#2.5,can,,11/30/2045,33,,,
Onion Powder,Basement,Emergency Essentials,1,,#2.5,can,,11/30/2045,33,,,
Creamy Pasta Chicken FD,Basement,Emergency Essentials,18,,#10,cans,,11/30/2045,44,,,
Hearty Potato Chowder,Basement,Emergency Essentials,6,,#10,can,,2/1/2046,52,,,
Honey Wheat Bread Mix,Basement,Emergency Essentials,6,,#10,can,,2/1/2046,53,,,
Hearty Potato Chowder,Basement,Emergency Essentials,6,,#10,can,,2/1/2046,54,,,
Honey Wheat Bread Mix,Basement,Emergency Essentials,6,,#10,can,,2/1/2046,55,,,
Honey Wheat Bread Mix,Basement,Emergency Essentials,6,,#10,can,,2/1/2046,56,,,
Whole Grain Pancake,Basement,Emergency Essentials,6,,#10,can,,2/1/2046,57,,,
Whole Grain Pancake,Basement,Emergency Essentials,6,,#10,can,,2/1/2046,58,,,
Honey Wheat Bread Mix,Basement,Emergency Essentials,2,,#10,can,,2/1/2046,59,,,
Hearty Potato Chowder,Basement,Emergency Essentials,2,,#10,can,,2/1/2046,59,,,
Honey Wheat Bread Mix,Basement,Emergency Essentials,6,,#10,can,,2/1/2046,124,,,
Honey Wheat Bread Mix,Basement,Emergency Essentials,6,,#10,can,,2/1/2046,125,,,
Spaghetti Sauce,Upstairs,Classico,2,7,125,grams,14,02/29/2010,,,,
Daytime non-drowsy Cold Multiple symptom,Basement,Kirkland,2,2x60,,,,11/31/17,82,,,
Nighttime Cold Multi-symptom,Basement,Kirkland,2,48,,,,11/31/17,82,,,
Neosporin,Basement,Neosporin,12,,,1 oz.,,2/31/18,84,,,
Neosporin,Basement,Neosporin,6,,,0.5 oz.,,2/31/18,84,,,
A bunch of herbal/natural pills,Basement,,9,,,,,2016-2017,82,,,
Iodine,Basement,Solaray,6,30 capsules,1,500 MCG,180,9/31/14,82,,,
Sugary Candy,Basement,,,,,,,Best by 2017,83,,,
White Sugar,Basement Kitchen,Emergency Essentials,3,576,1,teaspoon,1728,Damaged,20,5/14/2015,9695921696,Yes
10 oz Bowl,Basement Kitchen Pantry,Dixie,1,35,10,ounces,35,,16,,042000590006,
24 oz Bowl,Basement Kitchen Pantry,Dixie,1,24,20,ounces,24,,16,,042000145312,
A1,Basement,,3,,,,0,,23,,,
Beef Fried Rice,Basement,Sunrise Harvest,1,2,54.43,grams,2,,10,,,
Big Buddy Heater,Basement Kitchen,Mr. Heater,2,1,,,2,,,,,
Blueberry Pancake Mix,Basement Kitchen Pantry,Daily Bread,9,4,56,grams,36,,,11/19/2008,,
Blueberry Pancake Mix,Basement Kitchen Pantry,Daily Bread,36,4,56,grams,144,,,1/26/2009,,
Broccoli Soup,Basement,Sunrise Harvest,4,2,36.29,grams,8,,10,,,
Chili and Beans,Basement,Sunrise Harvest,2,2,72.57,grams,4,,10,,,
Colgate Toothbrush,Basement Kitchen Pantry,Colgate,4,2,1,brush,8,,10,,035000680204,
Dishwasher Detergent,Basement Kitchen Pantry,Cascade,1,1,3540,grams,1,,,,037000816225,
Disinfectant Spray,Basement Kitchen Pantry,Lysol,3,1,19,ounces,3,,,9/9/2014,019200880947,
Dried Apples,Basement,L & S,13,1,,,13,,8,,,
Dried Apples,Basement,L & S,8,,,,0,,9,,,
Dried Apples,Basement,L & S,3,,,,0,,10,,,
Dried Apricots,Basement,L & S,1,,,,0,,9,,,
Dried Bananas,Basement,L & S,1,,,,0,,9,,,
Dried Bananas,Basement,L & S,1,,,,0,,10,,,
Dried Peaches,Basement,L & S,1,,,,0,,9,,,
Finish Jet-Dry,Basement Kitchen Pantry,Reckitt Benckiser,1,1,946,milliliters,1,,,,,
Hard Candy,Basement,Various,3,,,,0,,16,,,
Heavy Duty Tin Foil,Basement Kitchen Pantry,Reynolds,4,75,1,sq ft,300,,8,,01092834,
Honey & Almond Granola,Basement Kitchen Pantry,Daily Bread,7,3.5,55,grams,24.5,,,11/12/2008,,
Macaroni,Basement Kitchen,LDS,2,1,5,gallons,2,,,1/1/2014,,
Maple & Brown Sugar Oatmeal,Basement Kitchen Pantry,Daily Bread,27,4,54,grams,108,,20,10/29/2008,,
Maple & Brown Sugar Oatmeal,Basement Kitchen Pantry,Daily Bread,9,4,54,grams,36,,,1/29/2009,,
Mashed Potatoes,Basement,Idahoan,1,2,23,grams,2,,11,,,
Paper Plates,Basement Kitchen,Dixie,2,160,1,plate,320,,,,042000916042,
Paper Plates,Basement Kitchen,Dixie,1,160,1,plate,160,,16,,042000916042,
Paper Towels,Basement Kitchen Pantry,Brawny,15,127,2,ply,1905,,,,042000445641,
Paper Towels,Basement Kitchen Pantry,Bounty,36,80,2,ply,2880,,,,037000897996,
Pinto Beans,Basement Kitchen,LDS,2,1,5,gallons,2,,,1/1/2014,,
Plastic Cups,Basement Kitchen Pantry,Amscan,1,50,14,ounces,50,,11,,048419749639,
Plastic Forks,Basement Kitchen Pantry,Kroger,1,48,1,fork,48,,11,,011110833877,
Plastic Forks,Basement Kitchen Pantry,Great Value,1,100,1,fork,100,,11,,078742004136,
Plasticware,Basement Kitchen Pantry,Great Value,1,96,1,varied,96,,10,,,
Plates,Basement Kitchen Pantry,Chinete,1,225,22,cm,225,,,,,
Quick Oats,Basement Kitchen,LDS,4,1,5,gallons,4,,,1/1/2014,,
Quilted Northern Toilet Paper,Basement Kitchen Pantry,Northern,60,267,3,ply,16020,,,,042000871389,
Six Grain Cereal,Basement,Sunrise Harvest,3,2,63.5,grams,6,,10,,,
Survivor Stove,Basement Kitchen Cupboard,Food for Health,3,2,1,Box,6,,,,892164000602,
Tampax Pearl,Basement,Tampax,2,,,,,,11,,,
Toilet Paper,Basement Kitchen Pantry,Charmin,36,164,2,ply,5904,,,,037000867821,
Toilet Paper,Basement Kitchen Pantry,Charmin,60,231,2,ply,13860,,,,037000892700,
Vegetable Stew w Beef,Basement,Mountain House,4,9,50,grams,36,,9,,,
Yellow Popcorn,Basement Kitchen,LDS,2,1,5,gallons,2,,,1/1/2014,,
Shaving Cream,Basement,Barbasol,8,1,1,shave,12,,29,,051009002922,
Hydrogen Peroxide,Basement,Assured,8,64,0.5,ounces,512,,28,,639277042972,
Women Shaving Cream,Basement,Assured,5,19,0.5,ounces,95,,30,5/12/2015,639277185112,
Kids Shampoo,Basement,Greenbrier,3,24,0.5,ounces,72,,29,,639277060457,
Kitchen Towels,Basement,Home Collection,6,1,1,towel,6,,32,,,
Potholders,Basement,Home Collection,3,2,1,holder,6,,32,,,
Dishcloth,Basement,Home Collection,2,2,1,cloth,4,,32,,,
Diaper Rash Ointment,Basement,Angel of Mine,4,1,2,ounces,4,,32,,,
Can/Bottle Opener,Basement,,3,1,1,opener,3,,32,,,
Combs,Basement,,36,1,1,comb,36,,29,,,
Barrettes,Basement,Basic Solutions,32,1,1,barrette,32,,29,,,
Bobby Pins,Basement,Basic Solutions,2,72,1,Pin,144,,29,,,
Rubber Bands,Basement,Basic Solutions,1,500,1,band,500,,29,,,
Round Hair Elastics,Basement,Basic Solutions,7,15,1,band,105,,29,,,
Large Hair Clip,Basement,Basic Solutions,3,2,1,clip,6,,29,,,
Small Hair Clip,Basement,Basic Solutions,2,3,1,clip,6,,29,,,
Hair Brush,Basement,Basic Solutions,6,1,1,brush,6,,29,,,
Kids Toothbrush,Basement,,8,1,1,brush,8,,29,,,
Adult Toothbrush,Basement,,24,1,1,brush,24,,29,,,
Huggies DIapers,Basement,Huggies,276,1,#1 ,diaper,276,,34,,,
Sparkle Paper Towels,Basement,Sparkle,24,107,1,sheet,2568,,35,,,
Sparkle Paper Towels,Basement,Sparkle,24,107,1,sheet,2568,,37,,,
Huggies Wipes,Basement,Wipes,624,1,1,wipe,624,,38,,,
Huggies Wipes,Basement,Wipes,624,1,1,wipe,624,,39,,,
Kleenex Tissues,Basement,Kleenex,6,170,1,tissue,1020,,40,,,
Toilet Paper,Basement,AngelSoft,48,264,1,tissue,12672,,41,,,
Toilet Paper,Basement,AngelSoft,48,264,1,tissue,12672,,42,,,
Huggies DIapers,Basement,Huggies,276,1,#1 ,diaper,276,,43,,,
Sparkle Paper Towels,Basement,Sparkle,24,107,1,sheet,2568,,45,,,
Huggies DIapers,Basement,Huggies,276,1,#1 ,diaper,276,,46,,,
Toilet Paper,Basement,AngelSoft,48,264,1,tissue,12672,,47,,,
Huggies Wipes,Basement,Wipes,624,1,1,wipe,624,,48,,,
Kleenex Tissues,Basement,Kleenex,6,170,1,tissue,1020,,49,,,
Batteries (AA),Basement,Amazon,48,1,1,battery,48,,50,,,
Batteries (AAA),Basement,Amazon,36,1,1,battery,36,,51,,,
Kleenex Tissues,Basement,Kleenex,6,170,1,tissue,1020,,60,,,
Assorted Silverwear and napkins,Basement,(multiple - plastic),929 Forks,246 Spoons,95 Knives,Silverwear,410,,61,,,
Paper Plates,Basement,Chinet and Dixie,3,300,1,Plate,900,,62,,,
Paper Bowls,Basement,Dixie,6,135,1,Bowl,810,,63,,,
Always Ultra Thin Pads,Basement,Always,8,96,1,Female Hygiene,768,,64,,,
Always Maxi + Ultra Thin Pads,Basement,Always,7,80,1,Female Hygiene,560,,65,,,
Tampons,Basement,Tampax Pearl,9,90,1,Female Hygiene,808,,66,,,
 ,Basement,Solo,6,500,1,Silverwear,3000,,67,,,
Desitin,Basement,Desitin,5,2,Just a little ,6 oz.,12 oz.,,68,,,
Desitin,Basement,Desitin,4,2,Just a little ,6 oz.,12 oz.,,69,,,
Shower Gel,Basement,Bath and Body Works,35,Whole Bottle,Just a little ,10 fl. oz.,,,70,,,
Shower Gel,Basement,Bath and Body Works,36,Whole Bottle,Just a little ,10 fl. oz.,,,71,,,
Lotion,Basement,Bath and Body Works,37,Whole Bottle,Just a little ,8 fl. oz.,,,72,,,
Soap,Basement,Bath and Body Works,36,Whole Bottle,Just a little ,8.75 fl. oz.,,,73,,,
Lotion,Basement,Bath and Body Works,19,Whole Bottle,Just a little ,7.5 fl. oz,,,74,,,
Soap,Basement,Bath and Body Works,11,Whole Bottle,Just a little ,8.75 fl. oz.,,,75,,,
"Travel Size Lotion, hand sanitizer, and shower gel",Basement,Bath and Body Works,50,Whole Bottle,Just a little ,3 fl. oz.,,,76,,,
Shower hair care,Basement,(multiple),8 conditioners,5 shampoos,3 mixed,13-25 fl. oz.,,,77,,,
Dry Shampoo,Basement,Aussi and TIGI,20,Whole Bottle,Just a little spray,5 fl. oz.,,,78,,,
Purfume,Basement,Bath and Body Works,10,Whole Bottle (8 fl. oz. ,Just a little spray,8 fl. oz.,,,78,,,
Men Deoderant,Basement,Old Spice,11,Whole Stick (3 oz.),Just a little,3 oz.,,,79,,,
Men Deoderant,Basement,Degree,8,Whole Stick (3 oz.),Just a little,3 oz.,,,79,,,
Women Deoderant,Basement,Secret,17,Whole Stick (2.6 oz.),Just a little,2.6 oz.,,,79,,,
Women Deoderant,Basement,Crystal,3,Whole bottle,Just a little,2.25 fl. oz.,,,79,,,
Fragrance Bulbs,Basement,The White Barn Candle Co.,5,Whole bottle ( .8 fl. oz.),,0.8 fl. oz.,,,79,,,
Soap Bar,Basement,Bath and Body Works,4,Whole Stick (1.5 oz.,Just a little,1.5 oz.,,,79,,,
Shower Caps,Basement,Lotus Spa,2,1,1 shower,1 cap,,,79,,,
Nail File,Basement,Bath and Body Works,19,Whole Stick,,,,,79,,,
Paper Plates,Basement,Dixie,4,110,1,Plate,440,,80,,,
Paper Plates,Basement,Dixie,1,170,1,Plate,170,,80,,,
Paper Plates,Basement,Chinet,1,60,1,Plate,60,,61,,,
Lotion,Basement,Bath and Body Works,7,Whole Bottle (8 fl. oz.),Just a little ,8 fl. oz.,,,81,,,
Shower Gel for men,Basement ,Bath and Body Works,2,Whole Bottle (10 fl. oz.),Just a little ,10 fl. oz.,,,81,,,
Travel size lotion ,Basement,Bath and Body Works,2,Whole Bottle (3 fl. oz.),Just a little ,3 fl. oz.,,,81,,,
Home Fragrance Oil,Basement,Slatkin & Co.,10,Whole Bottle (0.33 fl. oz.),,0.33 fl. oz.,10,,81,,,
Lip Gloss,Basement,Bath and Body Works,2,Whole Bottle (0.47 fl. oz.),,0.47 fl oz.,,,81,,,
Relaxing lotion,Basement,Bath and Body Works,1,Whole bottle ,Just a little,2 fl. oz.,,,81,,,
Scented Candle,Basement,Bath and Body Works,2,Little candle,,"1.5"" x 2.25""",,,81,,,
Sun Screen 15 SPF,Basement,Bath and Body Works,1,Whole bottle (8 fl. oz.),Just alittle,8 fl. oz.,,,81,,,
Medical gloves,Basement,Purple gloves,12 Pairs,1,1 Pair,Gloves,12,,82,,,
Triple Layer Non-Stick Pad,Basement,Johnson + Johnson,12,1 pad,1 pad,pads,12,,82,,,
Safety Goggles,Basement,Mainstay,2,1,1,goggles,2,,82,,,
Band Aids,Basement,(multiple),about 50,1,1,Sandwich baggy filled with band aids,,,82,,,
Hand Sanitizer Wipes,Basement,American Red Cross,about 24,1,1 wipe,1,about 24,,82,,,
Gallon Bags,Basement ,Hefty,12,1,1,gallon bag,12,,82,,,
Rolled Gauze,Basement,First Aid Johnson + Johnson,3,1,1,1 roll,3,,82,,,
Finger splint,Basement,Insity-Splint,2,1,1,1 splint,2,,82,,,
Compass/whistle/thermometer,Basement,,2,1,1,1,2,,82,,,
First Aid KIt,Basement,,,,,,,,82,,,
Rain Poncho,Basement,Ozark Trail,1,,,,,,82,,,
Rolled Wraps ,Basement,,2,,,,,,84,,,
Kleenex Tissues,Basement,Kleenex,6,170,1,tissue,1020,,85,,,
Kleenex Tissues,Basement,Kleenex,6,170,1,tissue,1020,,86,,,
Kleenex Tissues,Basement,Kleenex,6,170,1,tissue,1020,,87,,,
Paper Plates,Basement,Dixie,5,44,1,Plate,220,,88,,,
Paper Plates,Basement,Dixie,5,44,1,Plate,220,,89,,,
Paper Towels,Basement,Sparkle,24,107,1,sheet,2568,,90,,,
Paper Towels,Basement,Sparkle,24,107,1,sheet,2568,,91,,,
Paper Towels,Basement,Sparkle,24,107,1,sheet,2568,,92,,,
Huggies DIapers,Basement,Huggies,88,1,10,lbs,88,,93,,,
